player_id,player_name,match_id,team_id,team_name,league,computed_at,bypasses_per_halftime,opp_long_ball_rate,opp_avg_pass_length,opp_direct_play_index,opp_pass_forward_rate,score_diff_start_of_half,possessions_involved,possession_time_seconds,tempo_index,turnovers,passes_attempted,pass_completion_rate,progressive_passes,final_third_entries_by_pass,key_passes,carries_attempted,progressive_carries,carry_distance_total,successful_dribbles,carries_leading_to_shot,carries_leading_to_key_pass,final_third_carries,penalty_area_carries,ball_recoveries,interceptions,tackles_won,clearance_followed_by_recovery,average_position_x,average_position_y,width_variance,zone_entries,shot_creating_actions,fouls_committed,tactical_fouls,set_piece_involvements,corner_delivery_accuracy,set_piece_duels_won,defensive_set_piece_clearances,zone14_touches,penalty_area_deliveries,switches_completed,cross_accuracy,aerial_duels_contested,aerial_duel_win_rate,sliding_tackles,sliding_tackle_success_rate,weak_foot_pass_share,third_man_runs,wall_pass_events,secondary_shot_assists,defensive_midfield_actions,midfield_zone_coverage_x,midfield_presence_on_deep_opp,bypass_channel_defensive_actions,avg_defensive_x_on_deep_opp,defensive_shape_compactness
7965,Lucas Leiva,2576335_P1,3162,Lazio,Italy,2026-04-23T06:40:40.560404,4,0.2186,22.4395,0.1387,0.6344,0,27.0,3.8534,217.9906,0.0,14.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,61.8207,40.469,313.3494,5.0,0.0,1.0,0.0,0.0,,0.0,0.0,3.0,0.0,1.0,,5.0,0.6,3.0,0.6667,,1.0,0.0,0.0,0.0,84.9,0.0,0.0,111.0,64.1816
20561,S. Lulić,2576335_P1,3162,Lazio,Italy,2026-04-23T06:40:40.936292,4,0.2186,22.4395,0.1387,0.6344,0,30.0,48.3349,26.0681,0.0,21.0,0.7619,3.0,16.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,75.45,9.86,61.3871,0.0,2.0,1.0,0.0,0.0,,0.0,0.0,0.0,4.0,3.0,,8.0,0.375,4.0,0.75,,4.0,2.0,1.0,0.0,76.4,0.0,0.0,82.8,64.1816
40806,Felipe Anderson,2576335_P1,3162,Lazio,Italy,2026-04-23T06:40:41.267583,4,0.2186,22.4395,0.1387,0.6344,0,37.0,30.0843,25.9271,0.0,13.0,0.6154,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,83.9182,50.8545,620.1272,4.0,0.0,1.0,0.0,0.0,,0.0,0.0,4.0,2.0,1.0,,5.0,0.2,11.0,0.5455,,2.0,1.0,0.0,0.0,97.7333,0.0,0.0,107.4857,64.1816
228928,A. Marušić,2576335_P1,3162,Lazio,Italy,2026-04-23T06:40:41.628208,4,0.2186,22.4395,0.1387,0.6344,0,24.0,5.8755,102.1181,0.0,10.0,0.8,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,50.832,71.328,65.9563,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,,3.0,,3.0,1.0,,3.0,0.0,0.0,0.0,56.0,1.0,0.0,82.2,64.1816
265865,S. Milinković-Savić,2576335_P1,3162,Lazio,Italy,2026-04-23T06:40:41.980528,4,0.2186,22.4395,0.1387,0.6344,0,42.0,43.4073,29.0274,3.0,21.0,0.9524,5.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,81.6231,25.6769,284.4677,7.0,2.0,1.0,0.0,0.0,,0.0,0.0,3.0,2.0,1.0,,2.0,0.5,15.0,0.8,,7.0,1.0,0.0,1.0,86.4,0.0,0.0,93.6,64.1816
346908,A. Murgia,2576335_P1,3162,Lazio,Italy,2026-04-23T06:40:42.329452,4,0.2186,22.4395,0.1387,0.6344,0,21.0,2.8458,168.6699,0.0,8.0,0.75,5.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,52.9636,55.3091,291.919,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,,2.0,1.0,6.0,1.0,,3.0,0.0,0.0,0.0,50.4,0.0,0.0,,64.1816
7926,Nani,2576335_P2,3162,Lazio,Italy,2026-04-23T06:40:42.833393,1,0.2019,24.1185,0.1374,0.6808,0,12.0,8.7999,27.2731,2.0,4.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,82.5429,42.6857,851.1613,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,2.0,,0.0,0.0,3.0,0.3333,,0.0,0.0,0.0,0.0,120.0,0.0,0.0,120.0,42.2139
7965,Lucas Leiva,2576335_P2,3162,Lazio,Italy,2026-04-23T06:40:43.107661,1,0.2019,24.1185,0.1374,0.6808,0,31.0,39.1036,33.7565,1.0,22.0,0.9091,11.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,52.1368,38.4421,375.1766,4.0,1.0,1.0,0.0,0.0,,0.0,0.0,3.0,1.0,1.0,,5.0,0.8,3.0,1.0,,3.0,1.0,0.0,0.0,63.0,0.0,0.0,80.4,42.2139
20561,S. Lulić,2576335_P2,3162,Lazio,Italy,2026-04-23T06:40:43.459433,1,0.2019,24.1185,0.1374,0.6808,0,21.0,25.0724,26.3237,0.0,11.0,0.8182,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,65.6,12.1185,181.007,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,2.0,,4.0,0.75,,2.0,0.0,1.0,0.0,68.6667,1.0,0.0,91.2,42.2139
40806,Felipe Anderson,2576335_P2,3162,Lazio,Italy,2026-04-23T06:40:43.789919,1,0.2019,24.1185,0.1374,0.6808,0,35.0,24.9523,24.0459,0.0,10.0,0.9,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,72.439,32.8976,601.8942,5.0,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,,4.0,0.5,16.0,0.5625,,1.0,1.0,1.0,1.0,79.6,0.0,0.0,114.8,42.2139
